"date","assignment","userCount","submissionPercent","latePercent","averageGrade"
"1/14/2026, 4:07:06 PM","Demo day submission",158,0,0,0
"1/14/2026, 4:07:06 PM","Startup AWS",158,0.04,0,1
"1/14/2026, 4:07:06 PM","Startup CSS",158,0,0,0
"1/14/2026, 4:07:06 PM","Startup DB",158,0,0,0
"1/14/2026, 4:07:06 PM","Startup HTML",158,0.01,0,0.95
"1/14/2026, 4:07:06 PM","Startup React Phase 1: React Routing",158,0,0,0
"1/14/2026, 4:07:06 PM","Startup React Phase 2: Reactivity",158,0,0,0
"1/14/2026, 4:07:06 PM","Startup Service",158,0,0,0
"1/14/2026, 4:07:06 PM","Startup WebSocket",158,0,0,0
"1/14/2026, 4:07:06 PM","Startup specification",158,0.63,0,0.98
"1/14/2026, 4:07:06 PM","Student Rating Survey",158,0,0,0
"1/14/2026, 4:07:06 PM","Grace days",158,0,0,0
